system,en_de,en_zh,de_en,es_en,it_en,pt_en,zh_en
aya_canary-v2,1.4036,0.4056,4.0486,4.213,4.5581,2.436,11.8007
aya_owsm4.0-ctc,1.526,0.8435,4.1448,4.387,4.4129,2.1129,8.8199
aya_seamlessm4t,1.3843,0.3413,4.1374,4.1827,4.3682,2.0134,8.7178
aya_whisper,1.5646,0.5666,4.1966,4.4172,4.5246,2.1626,8.0849
canary-v2,1.9703,100.0,4.6629,4.387,5.5189,2.8088,55.3287
desta2-8b,2.0089,36.6493,4.3964,3.744,3.5527,2.5106,5.1654
gemma_canary-v2,1.4873,0.2254,4.5963,4.6744,5.4854,2.6846,60.0857
gemma_owsm4.0-ctc,1.3328,0.1867,4.7443,4.8635,5.6418,2.3614,10.2491
gemma_seamlessm4t,1.3071,0.1417,4.6629,4.4702,5.1838,2.1129,10.2695
owsm4.0-ctc,2.4467,0.4056,8.3488,6.2249,7.7086,4.1014,22.1519
phi4multimodal,29.7083,13.1737,12.76,17.1621,11.697,4.7228,38.4238
qwen2audio-7b,3.3997,0.9465,5.7805,5.1358,6.9043,3.3308,12.597
seamlessm4t,1.5646,0.1867,4.2484,4.1827,3.7873,2.0631,5.9412
tower_canary-v2,1.6805,0.206,4.5815,4.7122,5.7424,2.7094,71.8865
tower_owsm4.0-ctc,1.6483,0.2125,4.8183,4.7803,5.6977,2.3614,10.5962
tower_seamlessm4t,1.5839,0.1867,4.8035,4.4777,5.4407,2.1377,10.5145
voxtral-small-24b,2.3179,0.5087,5.329,4.7349,6.2228,2.3863,11.9845
whisper,,,5.551,5.1206,6.3121,2.6348,11.6782
